Date,time,Meter_01_Watt(avg),Meter_01_Watt(min),Meter_01_Watt(max),Meter_02_Watt(avg),Meter_02_Watt(min),Meter_02_Watt(max),Meter_03_Watt(avg),Meter_03_Watt(min),Meter_03_Watt(max),Meter_04_Watt(avg),Meter_04_Watt(min),Meter_04_Watt(max),Meter_05_Watt(avg),Meter_05_Watt(min),Meter_05_Watt(max),Meter_06_Watt(avg),Meter_06_Watt(min),Meter_06_Watt(max),Meter_07_Watt(avg),Meter_07_Watt(min),Meter_07_Watt(max),Meter_08_Watt(avg),Meter_08_Watt(min),Meter_08_Watt(max),Meter_09_Watt(avg),Meter_09_Watt(min),Meter_09_Watt(max),Meter_10_Watt(avg),,Meter_10_Watt(max),Meter_11_Watt(avg),Meter_11_Watt(min),Meter_11_Watt(max),Meter_12_Watt(avg),Meter_12_Watt(min),Meter_12_Watt(max),Meter_13_Watt(avg),Meter_13_Watt(min),Meter_13_Watt(max),Date,Time,Meter_01_Watt(avg),Meter_01_Watt(min),Meter_01_Watt(max),Meter_02_Watt(avg),Meter_02_Watt(min),Meter_02_Watt(max),Meter_03_Watt(avg),Meter_03_Watt(min),Meter_03_Watt(max),Meter_04_Watt(avg),Meter_04_Watt(min),Meter_04_Watt(max),Meter_05_Watt(avg),Meter_05_Watt(min),Meter_05_Watt(max),Meter_06_Watt(avg),Meter_06_Watt(min),Meter_06_Watt(max),Date,Time,Meter_01_Watt(avg),Meter_01_Watt(min),Meter_01_Watt(max),Meter_02_Watt(avg),Meter_02_Watt(min),Meter_02_Watt(max),Meter_03_Watt(avg),Meter_03_Watt(min),Meter_03_Watt(max),Meter_04_Watt(avg),Meter_04_Watt(min),Meter_04_Watt(max),Meter_05_Watt(avg),Meter_05_Watt(min),Meter_05_Watt(max),Meter_06_Watt(avg),Meter_06_Watt(min),Meter_06_Watt(max),,1st Floor,2nd floor,3rd floor,4th floor,Utilities,TOTAL,,,#rooms ,,,kWh,kWh 1st,kWh 2nd,kWh 3rd,kWh 4th,Utilities Daily,Total Daily,,Avg kWh 1st,Avg kWh 2nd,Avg kWh 3rd,Avg kWh 4th,Rm Totals,Utilites kWh,Total kWh,,,Avg Rm 1st,Avg Rm 2nd,Avg Rm 3rd,Avg Rm 4th
1/29/2023,0:00,1307.302,933.418,1336.669,124.316,121.669,126.741,57.337,57.218,57.482,2142.629,1152.306,2750.525,513.668,364.358,581.822,2612.842,2607.68,2626.208,4034.567,4027.177,4045.255,755.925,737.202,777.916,4248.979,3916.156,4777.079,3048.507,-3048.507,-2732.346,1782.296,466.085,5773.917,5447.616,4849.693,7435.39,4124.54,3824.888,4418.322,1/29/2023,0:00,18193.197,17778.99,18345.281,3472.904,3471.367,3474.485,119.948,119.585,120.534,69953.469,68378.641,72136.875,13789.303,10628.875,16896.148,5122.371,5046.12,5153.789,1/29/2023,0:00,6201.162,5718.155,6866.275,4080.372,3184.717,4439.071,2916.197,2566.818,3403.698,5422.86,5268.978,5768.706,7381.168,2398.866,8852.324,171.166,110.994,257.279,,7508.464,7699.884,15849.035,10409.504,32164.401,73631.288,,,1st,22,,,0.623202512,0.639090372,1.315469905,0.863988832,2.669645283,6.111396904,,145.5385859,166.5947748,238.2092187,246.812808,797.1553875,955.8437501,1752.999138,,,6.615390269,7.572489766,10.82769176,11.218764
1/29/2023,0:05,1079.733,833.851,1332.142,33.829,28.149,123.507,57.148,56.991,57.382,2059.719,1153.677,2727.179,366.021,363.768,367.981,2606.848,2602.206,2611.613,4035.412,4018.988,4071.883,769.213,743.962,812.826,4528.516,4073.893,5016.505,2968.184,-2968.184,-2754.181,1675.186,466.583,5784.331,5015.186,4926.464,5462.304,4189.649,3782.97,4741.744,1/29/2023,0:05,16723.092,16569.982,17824.186,3459.631,3365.45,3554.356,124.739,119.626,186.919,70590.25,68896.766,72997.148,13687.143,12389.075,16133.979,5475.619,5077.583,6133.528,1/29/2023,0:05,6606.253,6380.979,7771.317,4531.047,3839.486,5128.598,3187.599,2978.358,3466.47,5488.353,5264.262,5806.724,4881.569,2381.437,8821.18,588.127,130.246,2007.266,,7685.986,7922.4,16112,10753.309,29431.581,71905.276,,,2nd,49,,,0.637936838,0.6575592,1.337296,0.892524647,2.442821223,5.968137908,,,,,,,,,,,,,,
1/29/2023,0:10,832.221,828.374,834.709,30.491,28.627,31.996,56.937,56.763,57.073,2898.031,2507.32,3291.76,364.877,362.135,378.351,2552.69,2390.52,2605.953,4006.261,3986.802,4031.744,759.125,741.251,804.683,4353.91,4022.167,4835.524,2700.889,-2700.889,-2373.758,1933.069,465.269,6357.979,5112.306,4903.147,5570.563,5174.472,4666.027,5622.001,1/29/2023,0:10,16639.348,16557.197,16678.99,3513.695,3487.773,3556.936,2717.16,118.84,32692.371,72145.383,69341.797,75485.781,15034.954,12594.729,17876.426,5203.263,5062.167,5528.751,1/29/2023,0:10,6602.649,5784.773,8085.664,4671.5,4532.996,5056.154,3443.034,3294.872,3824.94,5969.348,5657,6557.078,6836.697,2392.395,8862.748,255.99,132.433,337.117,,7434.87,7794.203,17227.55,11929.321,35403.871,79789.815,,,3rd,49,,,0.61709421,0.646918849,1.42988665,0.990133643,2.938521293,6.622554645,,,,,,,,,,,,,,
1/29/2023,0:15,1079.197,829.49,1231.619,28.615,26.183,29.985,56.694,56.591,56.973,3274.037,3267.508,3282.753,370.389,336.36,570.049,2392.547,2387.01,2397.668,3991.477,3983.372,4003.315,937.797,758.837,1098.409,4459.761,3827.656,4863.773,2425.145,-2425.145,-2389.988,2713.425,464.323,7639.857,5386.244,5056.819,6042.88,5865.745,5141.97,6361.72,1/29/2023,0:15,16659.441,16613.75,16705.248,3463.556,3387.073,3490.754,1484.683,118.917,32880.484,85112.727,68899.016,91253.617,16600.49,15164.158,18099.75,5123.292,5078.947,5149.942,1/29/2023,0:15,6200.695,5729.972,6649.857,4488.996,4311.139,4842.851,3853.702,3487.457,4485.132,5940.544,5706.579,6293.738,5010.483,2380.316,8832.066,310.836,215.242,367.715,,7279.892,7341.224,17665.819,13049.791,34969.717,80306.443,,,4th,35,,,0.604231036,0.609321592,1.466262977,1.083132653,2.902486511,6.665434769,,,,,,,,,,,,,,
1/29/2023,0:20,1226.736,1220.833,1230.24,27.15,26.641,27.772,56.669,56.509,56.845,2007.121,945.986,3270.463,547.355,534.728,569.94,2386.941,2377.284,2393.159,3989.538,3980.088,3999.989,1016.381,960.698,1091.257,4759.03,4140.946,5371.043,2465.961,-2465.961,-2026.657,2668.845,464.325,7601.709,5941.101,5430.832,6962.947,5688.164,4655.201,6179.78,1/29/2023,0:20,16722.396,16590.113,17148.52,3387.853,3386.783,3390.165,1113.525,119.271,25914.537,94520.398,89866.828,97641.234,16455.822,14059.852,18735.5,5127.231,5082.657,5153.915,1/29/2023,0:20,6447.372,5953.761,7101.081,4804.359,4421.965,5061.289,3404.464,2978.903,3895.03,5802.556,5430.832,6456.946,6878.164,2380.886,8827.162,316.625,214.191,335.131,,7674.108,7874.344,16558.245,12495.95,36761.935,81364.582,,,,,,,0.636950964,0.653570552,1.374334335,1.03716385,3.051240605,6.753260306,,,,,,,,,,,,,,
1/29/2023,0:25,1226.989,1222.29,1229.836,26.99,26.119,27.944,56.831,56.7,56.918,1154.255,1146.583,1169.706,462.23,338.847,546.436,2389.929,2385.477,2394.54,4116.98,3986.224,4534.54,1219.728,1052.754,1383.973,4505.541,3602.728,4828.741,2250.499,-2250.499,-1966.749,2939.674,465.461,7607.343,7015.771,5570.833,7518.016,5059.336,4643.737,5482.86,1/29/2023,0:25,18107.387,17092.461,18320.281,3386.64,3384.719,3388.692,119.625,119.221,120.185,95666.742,92624.289,104638.828,19410.209,15158.118,23180.102,5127.745,4835.707,5152.4,1/29/2023,0:25,6478.548,5908.839,6972.127,4473.572,4199.09,4672.74,3335.005,3078.502,3619.351,5640.277,5300.64,5935.912,4975.2,2378.843,8804.446,314.298,210.472,326.365,,7705.537,7243.132,15417.053,12003.998,38161.417,80531.137,,,,,,,0.639559571,0.601179956,1.279615399,0.996331834,3.167397611,6.684084371,,,,,,,,,,,,,,
1/29/2023,0:30,1226.796,1223.061,1230.712,31.859,26.157,145.085,56.937,56.782,57.055,1073.506,945.544,1151.032,280.549,221.581,343.803,2392.326,2385.44,2397.067,4189.586,4181.607,4204.667,1056.36,1046.094,1076,3838.5,3602.95,4399.813,2008.587,-2008.587,-1783.541,3120.21,465.081,7647.781,7303.109,5399.105,8095.52,4886.437,4626.138,5504.673,1/29/2023,0:30,18218.254,18168.771,18289.932,3330.198,3300.358,3388.064,119.946,119.653,120.394,95250.398,92761.031,100848.891,18828.33,14837.457,22939.293,4954.625,4705.674,4985.879,1/29/2023,0:30,6463.064,6047.1,7027.571,4028.108,3713.024,4161.217,3115.893,3019.807,3185.829,5294.364,5177.258,5420.387,7074.536,2392.588,8838.648,274.599,207.924,349.129,,7689.86,6374.181,14395.956,11451.016,40050.928,79961.941,,,,,,,0.63825838,0.529057023,1.194864348,0.950434328,3.324227024,6.636841103,,,,,,,,,,,,,,
1/29/2023,0:35,1056.655,825.37,1227.376,128.595,124.086,139.86,56.857,56.718,56.991,1534.861,945.598,1722.682,432.928,218.84,2455.219,2384.805,2379.607,2389.992,4171.117,4162.06,4184.899,1193.908,1042.637,1377.686,3753.012,3554.565,4444.614,2153.649,-2153.649,-1604.082,3243.27,463.798,7616.761,5476.008,5207.79,6458.683,4839.135,4565.644,5509.532,1/29/2023,0:35,17693.672,17020.154,18287.422,3300.233,3298.484,3302.503,119.942,119.476,120.507,95732.367,91645.594,102526.484,19502.234,16267.037,23881.914,5367.165,4939.29,5856.147,1/29/2023,0:35,6729.915,6265.926,7237.97,3778.627,3447.792,4143.483,2947.94,2845.335,3067.715,5117.681,4883.334,5397.066,5010.859,2379.085,8791.83,311.57,262.246,321.954,,7786.57,6422.061,14576.671,11365.788,36964.116,77115.206,,,# Days ,17,,,0.64628531,0.533031063,1.209863693,0.943360404,3.068021628,6.400562098,,,,,,,,,,,,,,
1/29/2023,0:40,519.623,34.992,1226.124,92.542,28.349,124.409,56.873,56.754,57.027,3084.575,1712.173,3276.818,2433,2419.101,2441.623,2383.72,2371.84,2388.924,4001.32,3964.991,4167.682,928.857,846.098,1126.713,4466.711,3971.324,4855.615,2342.631,-2342.631,-2183.208,3481.631,464.441,7597.821,5340.073,5004.82,5711.388,4866.082,4325.571,5316.921,1/29/2023,0:40,17111.639,17018.66,17208.785,3241.657,3194.612,3301.684,1395.277,118.849,31969.912,97962.164,92705.789,104917.25,19267.934,13889.663,23360.396,4949.888,4939.242,4962.023,1/29/2023,0:40,7095.335,6643.099,7503.952,4219.738,3858.128,4863.547,2732.637,2587.89,2976.138,5041.079,4946.114,5175.806,7001.264,2385.159,8813.94,216.366,167.144,320.822,,7614.958,9052.242,16593.685,10911.296,39944.202,84116.383,,,,,,,0.632041514,0.751336086,1.377275855,0.905637568,3.315368766,6.981659789,,,,,,,,,,,,,,
1/29/2023,0:45,290.071,35.069,537.138,29.653,28.231,32.252,56.792,56.645,56.918,2433.678,1162.415,2731.834,2369.167,483.381,3255.116,2387.262,2383.691,2390.817,3975.038,3964.126,3984.006,837.43,722.472,991.569,4790.598,4671.246,5084.472,2577.745,-2577.745,-2369.728,3578.136,463.58,7606.239,5675.474,5223.549,6128.129,4659.518,4318.317,4967.612,1/29/2023,0:45,16969.021,16525.762,17164.83,3197.365,3165.147,3261.048,119.028,118.472,119.549,97546.25,93956.82,104969.094,19192.145,15598.752,22382.777,5047.114,4754.124,5146.807,1/29/2023,0:45,7409.019,7006.405,7823.578,4637.02,4260.142,4983.411,2984.721,2657.225,3145.499,4996.018,4848.026,5287.537,5405.425,2380.679,8774.016,196.45,167.792,228.81,,7699.09,9640.724,16195.332,10868.931,37364.023,81768.1,,,,,,,0.63902447,0.800180092,1.344212556,0.902121273,3.101213909,6.7867523,,,,,,,,,,,,,,
1/29/2023,0:50,355.351,134.671,536.547,30.754,28.334,32.115,56.762,56.609,56.964,1149.024,1144.251,1158.207,1706.117,479.831,2821.085,2475.307,2383.08,2627.025,3974.276,3965.422,3979.939,746.598,721.526,808.104,4412.398,3979.09,4746.578,2518.923,-2518.923,-2374.481,3732.145,465.211,7638.765,5635.805,5322.952,6296.1,4629.243,4212.153,5067.999,1/29/2023,0:50,16412.537,16111.244,16625.912,3133.829,2977.492,3266.973,119.47,119.208,119.753,98331.602,94405.883,104795.922,15947.226,11304.905,22048.375,5141.824,5125.643,5152.156,1/29/2023,0:50,6752.833,6269.305,7218.891,4677.768,4269.986,5157.625,3463.539,3002.438,3793.205,5217.05,4820.12,5770.896,7205.815,2412.744,8814.742,254.658,214.561,294.404,,7108.184,8959.57,14752.748,11314.687,36028.948,78164.137,,,Time Factor,0.083,,,0.589979272,0.74364431,1.224478084,0.939119021,2.990402684,6.487623371,,,,,,,,,,,,,,
1/29/2023,0:55,427.701,134.512,533.197,28.809,26.777,29.832,56.827,56.682,56.927,1253.258,946.735,1924.473,474.724,464.529,487.752,2597.063,2593.101,2602.328,3977.457,3972.328,3984.568,783.045,742.868,956.966,4551.231,3966.75,5110.097,2416.646,-2416.646,-2367.328,3799.477,465.23,7619.246,5597.258,5171.527,5967.465,4888.036,4682.903,5164.056,1/29/2023,0:55,16175.225,16067.457,16261.891,2941.95,2877.683,2984.695,948.721,118.967,20830.771,98697.609,94487.438,105349.18,13833.675,11039.671,18110.352,5123.608,5071.896,5182.184,1/29/2023,0:55,6862.423,6295.964,7220.921,4532.354,4184.236,4798.298,3677.767,3590.789,3755.243,5457.562,5334.475,5544.632,5672.454,2377.682,8805.814,235.075,213.333,274.712,,7290.124,7480.551,15239.508,11945.911,33028.61,74984.704,,,,,,,0.605080292,0.620885733,1.264879164,0.991510613,2.74137463,6.223730432,,,,,,,,,,,,,,
